Group,Country,Shipper Name,Shipper Address,Location Index,Name Confidence,Address Confidence,Overall Similarity,False Positive
9.0,CN,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG ,11,64.86486486486487,92.6829268292683,76.95967441460549,No
9.0,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN KWUN TONG ,11,64.86486486486487,87.17948717948718,74.56687456687457,No
9.0,CN,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING ROAD 123 HOI BUN ROAD KWUN TONG KOWLOON ,11,64.86486486486487,88.37209302325581,75.08539884677398,No
9.0,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD ,11,64.86486486486487,92.6829268292683,76.95967441460549,No
9.0,CN,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG KOWLOON HK ,11,64.86486486486487,92.6829268292683,76.95967441460549,No
10.0,SG,1010 PRINTING INTERNATIONAL LTD,26/F 625 KING S ROAD ,12,100.0,68.57142857142857,86.33540372670808,No
9.0,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG HONG KONG HONG KONG HONG KONG HK ,11,64.86486486486487,92.6829268292683,76.95967441460549,No
9.0,CN,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING ROAD 123 HOI BUN ROAD KWUN TONGKOWLOON ,11,64.86486486486487,65.51724137931035,65.14850682766725,No
9.0,CN,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD ,11,64.86486486486487,92.6829268292683,76.95967441460549,No
9.0,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO123 HOI BUN ROAD KWUN TONG HK ,11,64.86486486486487,84.21052631578947,73.2760220174408,No
9.0,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KOWLOON HK ,11,64.86486486486487,92.6829268292683,76.95967441460549,No
9.0,CN,1010 PRINTING INTL LTD,123 HOI BUN ROAD LEVEL 11 EAST WINGNEO HONG KONG CHINA 51800 ,11,100.0,100.0,100.00000000000001,No
9.0,CN,1010 PRINTING INTL LTD,HOI BUN ROAD 123 LEVEL 11 EAST WING NEO ,11,100.0,92.6829268292683,96.81866383881231,No
9.0,HK,1010 PRINTING INTL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN RD ,11,100.0,92.6829268292683,96.81866383881231,No
9.0,CN,1010 PRINTING INTL LTD,BUN RD KWUN TONG ,-1,,,,
9.0,CN,1010 PRINTING INTL LTD,HOI BUN ROAD 123 LEVEL 11 EAST WINGNEO HONG KONG CHINA 51800 ,11,100.0,92.6829268292683,96.81866383881231,No
,GB,111 SKIN LTD,5 BYWELL PLACE W1 ,-1,,,,
,SG,12 CHANGI SOUTH,PT BINTAN BERSATU APPAREL ON BEHALF 12 CHANGI SOUTH LANE,-1,,,,
,CN,1233 INTERNATIONAL TRADE FUJIAN CO LTD, NO B6058 EAST EXHIBITION HALL FSICEC NO 198 WEST NANJIANGBIN AVENUE INFREE TRADE ZOOM CHENGMEN+ ,-1,,,,
11.0,JM,12602415 CANADA INC,133 BOAKE TRAIL RICHMOND HILL ONTARIO CANADA L4B 3V8 ,13,100.0,75.86206896551724,89.50524737631184,No
11.0,JM,12602415 CANADA INC,133 BOAKE TRAIL RICHMOND HILL ON L4B 3V8 ATTN: KEVIN ,13,100.0,75.86206896551724,89.50524737631184,No
,TH,129 MOO1 T MAKHAMKOO RAYONG,ALLPORT CARGO SERVICES THAILAND CO LTD ON BEHALF OF 129 MOO1 T MAKHAMKOO RAYONG 2118 0 TH,-1,,,,
,ID,12950,PT APL LOGISTICS JL PROF DOKTER SATRIO KAV E4 NO 6 RT 5/RW 2 KUNINGAN DKI JAKARTA 10160 ON BEHALF OF SHIPPER 12950,-1,,,,
,CA,1316359 ALBERTA LTD,CLOTHING FOR 109-18 HIGHLAND PARK WAY NE AIRDRIE AB T4A 0R1 CANADA ,-1,,,,
,AR,14 DE JULIO SA ACHA,983 MAR DEL PLATA - ARGENTINA CUIT 30-67957864-9 ,-1,,,,
,CA,14687469 CANADA INC/DSOUZA FOR,229 YONGE ST TORONTO ON M5B 1N9TEL 365-306-1425EMAIL DSOUZAEXPORTERGMAIL COM ,-1,,,,
,CA,14792823 CANADA INC,O/A CHEEMA FREIGHTER ADRES SUITE3 22 FREDERICK ST KITCHENER ON N2H 6M6 TEL 226-336-3749 ,-1,,,,
,GB,14TH SIGNAL REGIMENT / QM T DEPT,CAWDOR BARRACKS BRAWDY ,-1,,,,
,FR,18 SAS,13 CHEMIN DES CHAUDRONNIERS CHAUDRONNIERS ,-1,,,,
,LA,1818 S A,C AV 22 DE JULIO NRO 230 ATE - LIMA - PERU RUC: 20505108672 ,-1,,,,
,IT,1825 SRL, VIA ALDO MORO N 3/4 13900 - BIELLA BI ITALY ,-1,,,,
,FR,1864 SARL,RUE DU GENERAL MUFFAT DE ST AMOUR MEGEVE 74120 FR ,-1,,,,
,KR,19 SINHANG,10 RO JINHAE GU CHANGWON SI GYEONGSANGNAM DO REPUBLIC OF KOREA ,-1,,,,
12.0,CN,1BYONE HOLDING LIMITED, 19H MAXGRAND PLAZA NO 3 TAI YAU STREET SAN PO KONG KL HONG KONG CHINA ,14,100.0,100.0,100.00000000000001,No
12.0,CN,1BYONE HOLDING LIMITED, 19H MAXGRAND PLAZA NO 3 TAI YAU STREET SAN PO KONG KL CHINA ,14,100.0,100.0,100.00000000000001,No
,GB,1ENV SOLUTIONS,AVIATION WAY SOUTHEND AIRPORT ,-1,,,,
,ES,1NYECTA MOULDED PARTS S L,CALLE HIGUERAS 14 NAVE 7 VALLADOLID SPAIN ,-1,,,,
,GB,1ST DIBS COM,HILLWAY GARAGE HILLWAY ,-1,,,,
13.0,CN,1ST SUCCESS LIMITED, ROOM 1607 16TH FLOOR MUNICIPAL BUILDING LOCKHART ROAD WANCHAI HONGKONG 999077 ,15,100.0,100.0,100.00000000000001,No
13.0,CN,1ST SUCCESS LIMITED, ROOM 1607 16TH FLOOR MUNICIPAL BU ILDING LOCKHART ROAD WANCHAI HON G KONG 999077 ,15,100.0,86.23853211009174,94.01675309134424,No
13.0,CN,1ST SUCCESS LIMITED, ROOM 1607 16TH FLOOR MUNICIPAL BU ILDING LOCKHART ROAD WANCHAI HON G KONG CHINA ,15,100.0,86.23853211009174,94.01675309134424,No
13.0,CN,1ST SUCCESS LIMITED, ROOM 1607 16TH FLOOR MUNICIPAL BUILDING LOCKHART ROAD WANCHAI ,15,100.0,86.23853211009174,94.01675309134424,No
,CN,2 AM INNOVATIONS LTD,ROOM1115 11/F TOWER A REGENT CENTRE63 WO YI HOP ROAD KWAI CHUNG ,-1,,,,
,IT,2 GAMMA AUTOMOTIVE SRL, VIA TRENTO 23 ,-1,,,,
14.0,SV,2 GAMMA SRL, CORSO INGHILTERRA 15 MONDOVI 12084 IT ,16,100.0,80.0,91.30434782608697,No
14.0,IT,2 GAMMA SRL, CORSO INGHILTERRA 15 MONDOVI ITALY ,16,100.0,75.0,89.1304347826087,No
14.0,IT,2 GAMMA SRL, CORSO INGHILTERRA 15 ,16,100.0,75.0,89.1304347826087,No
,PR,2 GO STORAGE,PO BOX 446 CAGUAS PR 00726 ,-1,,,,
,IT,2 GR S R L, VIA VERZELLONI 14 CORREGGIO ITALY ,-1,,,,
,GB,2 HEADS DESIGN LTD,REGATTA HOUSE 67-71 HIGH STREET MARLOW BUCKINGHAMSHIRE SL7 1AB VAT GB270453025000 CTC STEVE PARRA TEL 310 4639934 EMAIL ,-1,,,,
,CN,2/F EDGE,DHL GLOBAL FORWARDING HK LTD O/B 2/F EDGE 30-34 KWAI WING ROAD,-1,,,,
15.0,IN,20 MICRONS LIMITED, PLOT NO-01/02 AT DHRUB REVENUE SU EY NO-83/1 VILLAGE-DHRUB NEAR ADAN PORT TAL MUNDRA KUTCHH GUJAR ,17,100.0,92.20779220779221,96.61208356860531,No
15.0,IN,20 MICRONS LIMITED, PLOT NO-01/02 AT DHRUB REVENUE SU NO-83/1 VILLAGE-DHRUB NEAR ADANI MUNDRA KUTCHH GUJARAT INDIA - ,17,100.0,84.9673202614379,93.46405228758171,No
15.0,IN,20 MICRONS LIMITED, PLOT NO-01/02 AT DHRUB REVENUE SU 83/1 VILLAGE-DHRUB NEAR ADANI POR MUNDRA KUTCHH GUJARAT INDIA - ,17,100.0,81.81818181818181,92.09486166007906,No
15.0,IN,20 MICRONS LIMITED, PLOT NO-01/02 AT DHRUB REVENUE SURVEY NO-83/1 VILLAGE-DHRUB NEAR ADANI PORT TAL MUNDRA KUTCHH ,17,100.0,81.81818181818181,92.09486166007906,No
,CA,2000007 ONTARIO INC,3605 WESTON ROAD TORONTO ON CANADA ,-1,,,,
,CN,21 KEG CO LTD, B502 INNOVATION BUILDING INFORMATI ON INDUSTRY GARDEN CHAOYANG ROAD ,-1,,,,
,TR,212 BOSPHORUS GIDA TEKS REKL ORG,FATIH MH PROF DR NECMETTIN ERBAKAN ,-1,,,,
,BR,2124503 ALBERTA LTD,3200 10180-101 STREET EDMONTON ALBERTA T53W8 ,-1,,,,
16.0,CA,2155604 ONTARIO INC, 85 MIDWEST ROAD SCARBOROUGH ON CANADA M1P3A6 SCARBOROUGH ON M1P3A6 CA ,18,100.0,65.88235294117646,85.16624040920716,No
16.0,JM,2155604 ONTARIO INC,85 MIDWEST ROAD SCARBOROUGH CANADA 16472983121 ,18,100.0,100.0,100.00000000000001,No
16.0,CA,2155604 ONTARIO INC,85 MIDWEST ROAD SCARBOROUGH CANADA ,18,100.0,100.0,100.00000000000001,No
16.0,JM,2155604 ONTARIO INC,85 MIDWEST ROAD SCARBOROUGH CANADA ,18,100.0,100.0,100.00000000000001,No
,CA,219 9030 LESLIE,K & K INT L HOLDINGS INC ON BEHALF #219 - 9030 LESLIE STREET RICHMOND RICHMOND ON L4B 1G2 CANADA,-1,,,,
,IN,21G DESIGN WORKS PVT LTD, NO 32/33/5B AND 34/33/5B 2ND FLOOR ANNAPOORNA INDUSTRIAL COMPOUND ,-1,,,,
17.0,CN,21ST CENTURY BRANDS LIMITED, UNIT 07 10 28 F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHAWAN ,19,100.0,92.92929292929293,96.9257795344752,No
17.0,CN,21ST CENTURY BRANDS LIMITED, UNIT 07 10 28 F TRENDY CENTRE 682 CASTLE PEAK ROAD ,19,100.0,85.0574712643678,93.50324837581209,No
17.0,CN,21ST CENTURY BRANDS LIMITED, UNIT 07 10 28 F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHA WAN ,19,100.0,98.98989898989899,99.56082564778218,No
17.0,CN,21ST CENTURY BRANDS LIMITED, UNIT 07-10 28 F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHA WAN KOWLOON HONG KONG ,19,100.0,98.98989898989899,99.56082564778218,No
17.0,CN,21ST CENTURY BRANDS LIMITED, UNIT 07-10 28/F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHA WAN HONGKONG CHINA ,19,100.0,98.98989898989899,99.56082564778218,No
,CL,21ST CENTURY LABELS INTERNATIONAL,ZONA FRANCA FRANCISCO M ESPAILLAT NAVE 1 ETAPA II C/ LICEY ,-1,,,,
,ES,21ST CENTURY MARINE VENTURES LTD,1209 N ORANGE STREET WILMINGTON DE US 19801 ,-1,,,,
,CN,22 DONGFU,DHL GLOBAL FORWARDING CHINA CO LTD SHENZHEN BRANCH ON BEHALF 22 DONGFU ROAD FUSHA ZHONGSHAN Z HONGSHAN 528434 CN,-1,,,,
,CN,22A HANSON PLACE EASTERN CREEK NSW,AUSTRALIA ,-1,,,,
,CA,2355078 ONTARIO INC,DOWNTOWN COPIERS 1744 MEYERSIDE DRIVE UNIT 103 CALE DON ON L7C 0S6 CA ,-1,,,,
18.0,JM,24 7 SHIP SPARES,2030 E GLADWICK ST UNIT A ,20,100.0,87.5,94.56521739130436,No
18.0,PA,24 7 SHIP SPARES,2030 E GLADWICK ST UNIT A ,20,100.0,87.5,94.56521739130436,No
18.0,MX,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,20,100.0,100.0,100.00000000000001,No
18.0,GB,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,20,100.0,100.0,100.00000000000001,No
18.0,NL,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,20,100.0,100.0,100.00000000000001,No
18.0,CA,24 7 SHIP SPARES INC,2030 E GLADWICK ST UNIT A ,20,100.0,87.5,94.56521739130436,No
18.0,KR,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,20,100.0,100.0,100.00000000000001,No
18.0,NF,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,20,100.0,100.0,100.00000000000001,No
18.0,IN,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,20,100.0,100.0,100.00000000000001,No
18.0,CN,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,20,100.0,100.0,100.00000000000001,No
18.0,CA,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,20,100.0,100.0,100.00000000000001,No
18.0,ES,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,20,100.0,100.0,100.00000000000001,No
,CN,2440 LVYOU, ROAD ZHUHAI 519006 CHINA ,-1,,,,
,VN,247 IMPORT & EXPORT CO LTD, 24 PHAN BOI CHAU STR THACH THANG WARD HAI CHAU DISTRICT DANANG CITY VIETNAM DANANG VN ,-1,,,,
19.0,CN,24HOURS GUANGZHOU AFREIGHTSUPPLY,CHAINMANAGEMENTCO LTD ROOM110 BUILDING9NO 1ERHENGROAD ,21,100.0,95.65217391304348,98.10964083175806,No
19.0,CN,24HOURS GUANGZHOU AFREIGHTSUPPLY,CHAINMANAGEMENTCO LTD ROOM110 BUILDING9 NO 1ERHENGROAD ,21,100.0,95.65217391304348,98.10964083175806,No
,CA,2675261 ONTARIO INC, 150 FAIRVIEW MALL DR SUITE 907 NOR TH YORK ON M2J 2Z1 CA ,-1,,,,
,VN,28 1 JOINT STOCK COMPANY, 03 NGUYEN OANH ST GO VAP DISTRICT ,-1,,,,
,VN,28 DA NANG JOINT STOCK COMPANY, 67 DUY TAN STREET- HOA THUAN TAY WARD - HAI CHAU DISTRICT- DA NANG CITY - VIETNAM ,-1,,,,
20.0,VN,28 HUNG PHU JSC,168 QUANG TRUNG STR WARD 10 GO VAP HO CHI MINH CITY VIETNAM,22,100.0,89.8876404494382,95.60332193453836,No
20.0,VN,28 HUNG PHU JSC,168 QUANG TRUNG STR WARD 10 GO VAP DIST HO CHI MINH VN,22,100.0,89.8876404494382,95.60332193453836,No
20.0,VN,28 HUNGPHU JS COMPANY, 168 QUANG TRUNG - GOVAP - HO CHI MINH CITY - VIETNAM EMAIL: QUYENLE@28HUNGPHU COM ,-1,,,,
21.0,NO,28 QUANG NGAI JOINT STOCK COMPANY, 121 LE TRUNG DINH ST -TRAN HUNG DAOWARD-QUANG NGAI CITY QUANG NGAI PROQUANG NGAI VN QUANG NGAIVN ,23,85.71428571428572,92.3076923076923,88.58098423315816,No
21.0,NO,28 QUANGNGAI JOINT STOCK COMPANY, 121 LE TRUNG DINH ST -TRAN HUNG DAOWARD-QUANG NGAICITY QUANG NGAI PRO QUANG NGAI VN QUANG NGAI VN ,23,85.71428571428572,92.3076923076923,88.58098423315816,No
,AF,2A MUHENDISLIK SANAYI VE TICARET A 2A IS MERKEZI KAGITHANE CD, NO 2 34400 KAGITHANE-ISTANBUL ISTANBUL ,-1,,,,
,IT,2A SPA,VIA SAN QUINTINO 28 ,24,75.0,64.28571428571428,70.3416149068323,No
,BE,2B BEST BUSINESS AB,HYVELGATAN 2 ,-1,,,,
,IT,2B MINERAL SRL, VIALE EUROPA 81 CAMPOGALLIANO 41011 IT ,-1,,,,
,DE,2D METAL,B P 70 ,-1,,,,
,BS,2D TO 3D S R L, S VIA SANTUARIO 27/B 12033 MORETTA ,-1,,,,
,CN,2FIBER COMMUNICATION LIMITED, ROOMS 1318 19 HOLLYWOOD PLAZA 610 MONGKOK KOWLOON HK ,-1,,,,
,DE,2G ENERGIETECHNIK GMBH,BENZSTR 3 HEEK 48619 DE ,-1,,,,
,CA,2H03 LAFARGE CANADA INC,RICHMOND PLANT 7611 NO 9 ROAD RICHMOND BC V6W 1H4 ,-1,,,,
,FR,2ISO,7 LE CLOS MONTPLAISIR 31460 CARAMAN FRANCE ,-1,,,,
,DE,2J ANTENNAS S R O,STEFANIKOVA 61 BARDEJOV 08501 SK ,-1,,,,
22.0,GB,2K POLYMER SYSTEMS LIMITED, VENTURE CRESCENT ALFRETON ,25,82.05128205128204,80.70175438596492,81.46453089244851,No
22.0,BE,2K POLYMER SYSTEMS LIMITED, VENTURE CRESCENT ALFRETON DERBYSHIRE ENGLAND DE55 7RA UNITED KINGDOM ,25,82.05128205128204,63.829787234042556,74.12889300030835,No
22.0,GB,2K POLYMER SYSTEMS LTD,VENTURE CRESCENT ALFRETON GB ,25,100.0,84.7457627118644,93.36772291820192,No
22.0,GB,2K POLYMER SYSTEMS LTD,VENTURE CRESCENT ALFRETON DB DE557RA GB ,25,100.0,84.7457627118644,93.36772291820192,No
,IT,2LOG SRL, VIA ASSAROTTI 11/3 16122 GENOVA ITALY ,-1,,,,
,DE,2LP RETAIL FURNITURE,FARVERVEJ 20 ,-1,,,,
,CN,2M GROUP,LIMITED NO 706 SHENGTAIZHONGGUO CHAOYAGN STREET ,-1,,,,
,PA,2MGR REVESTIMENTOS LTDA, R JOSIAS DA SILVA RAINHA 25 DISTRI TO IND DE SAO JOAQUIM MORRO GRAN ,-1,,,,
,IT,2P S P A,VIA LOMBARDIA 26 BULCIAGO 23892 IT ,-1,,,,
