Group,Country,Shipper Name,Shipper Address,Location Index
,ID,12950,PT APL LOGISTICS JL PROF DOKTER SATRIO KAV E4 NO 6 RT 5/RW 2 KUNINGAN DKI JAKARTA 10160 ON BEHALF OF SHIPPER 12950,72
,CA,1316359 ALBERTA LTD,CLOTHING FOR 109-18 HIGHLAND PARK WAY NE AIRDRIE AB T4A 0R1 CANADA ,73
,AR,14 DE JULIO SA ACHA,983 MAR DEL PLATA - ARGENTINA CUIT 30-67957864-9 ,74
,CA,14687469 CANADA INC/DSOUZA FOR,229 YONGE ST TORONTO ON M5B 1N9TEL 365-306-1425EMAIL DSOUZAEXPORTERGMAIL COM ,75
,CA,14792823 CANADA INC,O/A CHEEMA FREIGHTER ADRES SUITE3 22 FREDERICK ST KITCHENER ON N2H 6M6 TEL 226-336-3749 ,76
,GB,14TH SIGNAL REGIMENT / QM T DEPT,CAWDOR BARRACKS BRAWDY ,77
,FR,18 SAS,13 CHEMIN DES CHAUDRONNIERS CHAUDRONNIERS ,78
,LA,1818 S A,C AV 22 DE JULIO NRO 230 ATE - LIMA - PERU RUC: 20505108672 ,79
,IT,1825 SRL, VIA ALDO MORO N 3/4 13900 - BIELLA BI ITALY ,80
,FR,1864 SARL,RUE DU GENERAL MUFFAT DE ST AMOUR MEGEVE 74120 FR ,81
,KR,19 SINHANG,10 RO JINHAE GU CHANGWON SI GYEONGSANGNAM DO REPUBLIC OF KOREA ,82
12,CN,1BYONE HOLDING LIMITED, 19H MAXGRAND PLAZA NO 3 TAI YAU STREET SAN PO KONG KL HONG KONG CHINA ,83
12,CN,1BYONE HOLDING LIMITED, 19H MAXGRAND PLAZA NO 3 TAI YAU STREET SAN PO KONG KL CHINA ,84
,GB,1ENV SOLUTIONS,AVIATION WAY SOUTHEND AIRPORT ,85
,ES,1NYECTA MOULDED PARTS S L,CALLE HIGUERAS 14 NAVE 7 VALLADOLID SPAIN ,86
,GB,1ST DIBS COM,HILLWAY GARAGE HILLWAY ,87
13,CN,1ST SUCCESS LIMITED, ROOM 1607 16TH FLOOR MUNICIPAL BUILDING LOCKHART ROAD WANCHAI HONGKONG 999077 ,88
13,CN,1ST SUCCESS LIMITED, ROOM 1607 16TH FLOOR MUNICIPAL BU ILDING LOCKHART ROAD WANCHAI HON G KONG 999077 ,88
13,CN,1ST SUCCESS LIMITED, ROOM 1607 16TH FLOOR MUNICIPAL BU ILDING LOCKHART ROAD WANCHAI HON G KONG CHINA ,89
13,CN,1ST SUCCESS LIMITED, ROOM 1607 16TH FLOOR MUNICIPAL BUILDING LOCKHART ROAD WANCHAI ,90
,CN,2 AM INNOVATIONS LTD,ROOM1115 11/F TOWER A REGENT CENTRE63 WO YI HOP ROAD KWAI CHUNG ,91
,IT,2 GAMMA AUTOMOTIVE SRL, VIA TRENTO 23 ,92
14,SV,2 GAMMA SRL, CORSO INGHILTERRA 15 MONDOVI 12084 IT ,93
14,IT,2 GAMMA SRL, CORSO INGHILTERRA 15 MONDOVI ITALY ,94
14,IT,2 GAMMA SRL, CORSO INGHILTERRA 15 ,95
,PR,2 GO STORAGE,PO BOX 446 CAGUAS PR 00726 ,96
,IT,2 GR S R L, VIA VERZELLONI 14 CORREGGIO ITALY ,97
,GB,2 HEADS DESIGN LTD,REGATTA HOUSE 67-71 HIGH STREET MARLOW BUCKINGHAMSHIRE SL7 1AB VAT GB270453025000 CTC STEVE PARRA TEL 310 4639934 EMAIL ,98
,CN,2/F EDGE,DHL GLOBAL FORWARDING HK LTD O/B 2/F EDGE 30-34 KWAI WING ROAD,99
15,IN,20 MICRONS LIMITED, PLOT NO-01/02 AT DHRUB REVENUE SU EY NO-83/1 VILLAGE-DHRUB NEAR ADAN PORT TAL MUNDRA KUTCHH GUJAR ,100
15,IN,20 MICRONS LIMITED, PLOT NO-01/02 AT DHRUB REVENUE SU NO-83/1 VILLAGE-DHRUB NEAR ADANI MUNDRA KUTCHH GUJARAT INDIA - ,101
15,IN,20 MICRONS LIMITED, PLOT NO-01/02 AT DHRUB REVENUE SU 83/1 VILLAGE-DHRUB NEAR ADANI POR MUNDRA KUTCHH GUJARAT INDIA - ,102
15,IN,20 MICRONS LIMITED, PLOT NO-01/02 AT DHRUB REVENUE SURVEY NO-83/1 VILLAGE-DHRUB NEAR ADANI PORT TAL MUNDRA KUTCHH ,103
,CA,2000007 ONTARIO INC,3605 WESTON ROAD TORONTO ON CANADA ,104
,CN,21 KEG CO LTD, B502 INNOVATION BUILDING INFORMATI ON INDUSTRY GARDEN CHAOYANG ROAD ,105
,TR,212 BOSPHORUS GIDA TEKS REKL ORG,FATIH MH PROF DR NECMETTIN ERBAKAN ,106
,BR,2124503 ALBERTA LTD,3200 10180-101 STREET EDMONTON ALBERTA T53W8 ,107
16,CA,2155604 ONTARIO INC, 85 MIDWEST ROAD SCARBOROUGH ON CANADA M1P3A6 SCARBOROUGH ON M1P3A6 CA ,108
16,JM,2155604 ONTARIO INC,85 MIDWEST ROAD SCARBOROUGH CANADA 16472983121 ,109
16,CA,2155604 ONTARIO INC,85 MIDWEST ROAD SCARBOROUGH CANADA ,110
16,JM,2155604 ONTARIO INC,85 MIDWEST ROAD SCARBOROUGH CANADA ,110
,CA,219 9030 LESLIE,K & K INT L HOLDINGS INC ON BEHALF #219 - 9030 LESLIE STREET RICHMOND RICHMOND ON L4B 1G2 CANADA,111
,IN,21G DESIGN WORKS PVT LTD, NO 32/33/5B AND 34/33/5B 2ND FLOOR ANNAPOORNA INDUSTRIAL COMPOUND ,112
17,CN,21ST CENTURY BRANDS LIMITED, UNIT 07 10 28 F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHAWAN ,113
17,CN,21ST CENTURY BRANDS LIMITED, UNIT 07 10 28 F TRENDY CENTRE 682 CASTLE PEAK ROAD ,114
17,CN,21ST CENTURY BRANDS LIMITED, UNIT 07 10 28 F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHA WAN ,113
17,CN,21ST CENTURY BRANDS LIMITED, UNIT 07-10 28 F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHA WAN KOWLOON HONG KONG ,115
17,CN,21ST CENTURY BRANDS LIMITED, UNIT 07-10 28/F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHA WAN HONGKONG CHINA ,116
,CL,21ST CENTURY LABELS INTERNATIONAL,ZONA FRANCA FRANCISCO M ESPAILLAT NAVE 1 ETAPA II C/ LICEY ,117
,ES,21ST CENTURY MARINE VENTURES LTD,1209 N ORANGE STREET WILMINGTON DE US 19801 ,118
,CN,22 DONGFU,DHL GLOBAL FORWARDING CHINA CO LTD SHENZHEN BRANCH ON BEHALF 22 DONGFU ROAD FUSHA ZHONGSHAN Z HONGSHAN 528434 CN,119
,CN,22A HANSON PLACE EASTERN CREEK NSW,AUSTRALIA ,120
,CA,2355078 ONTARIO INC,DOWNTOWN COPIERS 1744 MEYERSIDE DRIVE UNIT 103 CALE DON ON L7C 0S6 CA ,121
18,JM,24 7 SHIP SPARES,2030 E GLADWICK ST UNIT A ,122
18,PA,24 7 SHIP SPARES,2030 E GLADWICK ST UNIT A ,122
18,MX,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,123
18,GB,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,123
18,NL,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,123
18,CA,24 7 SHIP SPARES INC,2030 E GLADWICK ST UNIT A ,124
18,KR,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,123
18,NF,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,123
18,IN,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,123
18,CN,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,123
18,CA,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,123
18,ES,24 7 SHIP SPARES INC,2030 E GLADWICK ST ,123
,CN,2440 LVYOU, ROAD ZHUHAI 519006 CHINA ,125
,VN,247 IMPORT & EXPORT CO LTD, 24 PHAN BOI CHAU STR THACH THANG WARD HAI CHAU DISTRICT DANANG CITY VIETNAM DANANG VN ,126
19,CN,24HOURS GUANGZHOU AFREIGHTSUPPLY,CHAINMANAGEMENTCO LTD ROOM110 BUILDING9NO 1ERHENGROAD ,127
19,CN,24HOURS GUANGZHOU AFREIGHTSUPPLY,CHAINMANAGEMENTCO LTD ROOM110 BUILDING9 NO 1ERHENGROAD ,127
,CA,2675261 ONTARIO INC, 150 FAIRVIEW MALL DR SUITE 907 NOR TH YORK ON M2J 2Z1 CA ,128
,VN,28 1 JOINT STOCK COMPANY, 03 NGUYEN OANH ST GO VAP DISTRICT ,129
,VN,28 DA NANG JOINT STOCK COMPANY, 67 DUY TAN STREET- HOA THUAN TAY WARD - HAI CHAU DISTRICT- DA NANG CITY - VIETNAM ,130
20,VN,28 HUNG PHU JSC,168 QUANG TRUNG STR WARD 10 GO VAP HO CHI MINH CITY VIETNAM,131
20,VN,28 HUNG PHU JSC,168 QUANG TRUNG STR WARD 10 GO VAP DIST HO CHI MINH VN,132
20,VN,28 HUNGPHU JS COMPANY, 168 QUANG TRUNG - GOVAP - HO CHI MINH CITY - VIETNAM EMAIL: QUYENLE@28HUNGPHU COM ,133
21,NO,28 QUANG NGAI JOINT STOCK COMPANY, 121 LE TRUNG DINH ST -TRAN HUNG DAOWARD-QUANG NGAI CITY QUANG NGAI PROQUANG NGAI VN QUANG NGAIVN ,134
21,NO,28 QUANGNGAI JOINT STOCK COMPANY, 121 LE TRUNG DINH ST -TRAN HUNG DAOWARD-QUANG NGAICITY QUANG NGAI PRO QUANG NGAI VN QUANG NGAI VN ,134
,AF,2A MUHENDISLIK SANAYI VE TICARET A 2A IS MERKEZI KAGITHANE CD, NO 2 34400 KAGITHANE-ISTANBUL ISTANBUL ,135
,IT,2A SPA,VIA SAN QUINTINO 28 ,136
,BE,2B BEST BUSINESS AB,HYVELGATAN 2 ,137
,IT,2B MINERAL SRL, VIALE EUROPA 81 CAMPOGALLIANO 41011 IT ,138
,DE,2D METAL,B P 70 ,139
,BS,2D TO 3D S R L, S VIA SANTUARIO 27/B 12033 MORETTA ,140
,CN,2FIBER COMMUNICATION LIMITED, ROOMS 1318 19 HOLLYWOOD PLAZA 610 MONGKOK KOWLOON HK ,141
,DE,2G ENERGIETECHNIK GMBH,BENZSTR 3 HEEK 48619 DE ,142
,CA,2H03 LAFARGE CANADA INC,RICHMOND PLANT 7611 NO 9 ROAD RICHMOND BC V6W 1H4 ,143
,FR,2ISO,7 LE CLOS MONTPLAISIR 31460 CARAMAN FRANCE ,144
,DE,2J ANTENNAS S R O,STEFANIKOVA 61 BARDEJOV 08501 SK ,145
22,GB,2K POLYMER SYSTEMS LIMITED, VENTURE CRESCENT ALFRETON ,146
22,BE,2K POLYMER SYSTEMS LIMITED, VENTURE CRESCENT ALFRETON DERBYSHIRE ENGLAND DE55 7RA UNITED KINGDOM ,147
22,GB,2K POLYMER SYSTEMS LTD,VENTURE CRESCENT ALFRETON GB ,148
22,GB,2K POLYMER SYSTEMS LTD,VENTURE CRESCENT ALFRETON DB DE557RA GB ,149
,IT,2LOG SRL, VIA ASSAROTTI 11/3 16122 GENOVA ITALY ,150
,DE,2LP RETAIL FURNITURE,FARVERVEJ 20 ,151
,CN,2M GROUP,LIMITED NO 706 SHENGTAIZHONGGUO CHAOYAGN STREET ,152
,PA,2MGR REVESTIMENTOS LTDA, R JOSIAS DA SILVA RAINHA 25 DISTRI TO IND DE SAO JOAQUIM MORRO GRAN ,153
,IT,2P S P A,VIA LOMBARDIA 26 BULCIAGO 23892 IT ,154
,IT,2P TRADE SRL, VIA AURELIA KM364 ,155
,IS,2VV S R O,FABLOVKA 568 PARDUBICE STARE HRADISTE 533 52 CZ ,156
24,IT,3 B S P A,1 VIA DELLE INDUSTRIE SALGAREDA TV 31040 IT ,157
23,IT,3 B SPA,VIA CALNUOVA 18 31040 SALGAREDA IT ,158
23,IT,3 B SPA,VIA CALNUOVA 18 SALGAREDA 31040 ITALY ,159
23,IT,3 B SPA,VIA CALNUOVA 18 SALGAREDA 31040 ,160
23,FR,3 B SPA,VIA CALNUOVA 18 SALGAREDA 31040 ITALY ,159
24,IT,3 B SPA,VIA DELLE INDUSTRIE 1 SALGAREDA 31040 IT ,161
,CM,3 C G COMPTOIR CAFE & CACAO GROUP, DOUALA P/C MANDZE CLETUS FONLON DOUALA - CAMEROUN ,162
,CN,3 C HOME LIMITED, NO 228 CHANGHUANLUBIAN MAWU VILLA CHANGPING TOWN DONGGUANG CITY ,163
,IT,3 C LAVORAZIONE PELLE SRL, VIA IV STRADA 29 ARZIGNANO VI 36071 ITALY ,164
,ES,3 CENTEX SRL, VIA A GRAMSCI 7 20841 CARATE BRIANZA MB ,165
,IN,3 D PLUS INC,401 I-1 ROAD BHUPALPURA UDAIPUR UDAIPUR RJ 313001 INDIA ,166
25,MY,3 DAY S FURNITURE SDN BHD, POS 735 A PARIT BAKAR DARAT 84010 MUAR JOHOR ,167
25,MY,3 DAY S FURNITURE SDN BHD, POS 735A PARIT BAKAR DARAT 84010 MUAR JOHOR ,167
,LK,3 S FABRICATIONS PVT LTD, VENUS MILLS ETIYAWELA DALUWELA DANKOTUWA SRI LANKA COLOMBO ,168
26,TH,3 SEASONS FRUIT INDUSTRIAL CO LTD, 1069 1071 1073 RAMA 9 ROAD SU AN LUANG KRUNG THEP MAHA NAKHON BA NGKOK THAILAND ,169
26,TH,3 SEASONS FRUIT INDUSTRIAL CO LTD, 1069 1071 1073 RAMA 9 ROAD SUAN LUANG SUAN LUANG BANGKOK THAILAND 10250 ,170
,PK,3 WICKETS INTERNATIONAL,5-KM ADDAH DASKA ROAD SIALKOT PAKISTAN,171
27,CN,3 YUAN DONGGUAN SOUND ELECTRONIC CO,NO298 WU BA WEI ROAD QISHI TOWN DONGGUAN CITY GUANGDONG PROVINCE CHINA ,172
27,CN,3 YUAN DONGGUAN SOUND ELECTRONIC O,298 WUBAWEI ROAD QISHI TOWN DONGGUAN GUANGDONG,173
,VN,32 JOINT STOCK COMPANY, 170 QUANG TRUNG STREET GO VAP DIST VN ,174
28,PH,33 POINT 3 EXPORT INC, M L QUEZON ST CASUNTINGAN MANDAUE 6014 PH ,175
28,PH,33 POINT 3 EXPORT INC,M L QUEZON ST CASUNTINGAN ,176
,HK,35PLUS LIMITED, D D 107 LOT 475 FUNG KAT HEUNG YUEN LONG HONG KONG ,177
,CN,360 AUTOTEK LIMITED, 4TH FL YONGYE BLDG ZHONGYI INDUST RIAL ZONE ZHONGCUN PANYU DISTRICT ,178
29,CN,360 DEGREE CLOTHING HOLDINGS LIMI,4/F CAR PO COMMERCIAL BUILDING 18-20 LYNDHURST TERRACE CENTRAL,179
29,CN,360 DEGREE CLOTHING HOLDINGS LIMI,4/F CAR PO COMMERCIAL BUILDING 18-20 LYNDHURST TERRACE CENTRAL HONG KONG HONG KONG ISLAND HK,180
,CN,360 MANUFACTURING MANAGEMENT LIMITED, ROOM 1302 13/F LUCKY CENTRE NO 165-171 WAN CHAI ROAD WAN CHAI HK ,181
,HK,360PRO SOLUTIONS LIMITED,99 HENNESSY ROAD BAYFIELD BUILDING SUITE 2301 WAN CHAI HONG KONG ,182
,IN,38 SECTOR,SHYAM COTSYN INDIA LTD B O B 38 SECTOR 80 NOIDA U P INDIA,183
,DE,3A COMPOSITES GMBH,ALUSINGENPLATZ 1 D-78224 SINGEN ,184
,PG,3A COMPOSITES PNG LTD,P O BOX 1929 KOKOPO ENBP PNG PH 675 982 8416 FAX 675 982 8420 ,185
30,CN,3A MEDICAL PRODUCTS CO LTD, YU AN INDUSTRIAL PARK ,186
30,CN,3A MEDICAL PRODUCTS CO LTD, YU AN INDUSTRIAL PARK 230001 LIU A HEFEI AH 230001 CHINA ,187
,CN,3ACE FAR EAST LIMITED, RM 18 27/F HO KING COMM CTR 2-16F AYUENST MONGKOK KOWLOONHONG KONG 999077 ,188
,BE,3B FIBREGLASS SRL, ROUTE DE MAESTRICHT 67 BATTICE 465 1 BE ,189
,DE,3B HUNGARIA KFT,WLASSICS GY U 13 ,190
,DE,3B SCIENTIFIC GMBH,RUDORFFWEG 8 HAMBURG 21031 DE ,191
,KR,3C LAB,A-301 GLOBAL BIZ CENTER 43 CHANGE OP-RO SEONGNAM-SI GYEONGGI-DO REPUBLIC OF KOREA TEL 13449 ,192
,DE,3CON ANLAGENBAU GMBH,KLEINFELD 16 ,193
31,TR,3D CAM PAZ SAN VE TIC LTD,STI RAMAZANOGLU MAH ENSAR CAD NO:6 1 KURTKOY PENDIK ISTANBUL TR ,194
31,TR,3D CAM PAZ SAN VE TIC LTD,STI RAMAZANOGLU MAH ENSAR CAD NO:6 1 KURTKOY ISTANBUL 34906 TR ,195
,MY,3D EDARAN SDN BHD, 41 JALAN PERAK 10150 PENANG ,196
,BE,3D SYSTEMS GMBH,WALDECKER STRASSE 13 ,197
,IN,3DPLUS INC,4011 ROAD BHUPALPURA ,198
,CN,3E FASHION JEWELLERY CO LTD, UNIT 1704 HK WORSTED MILLS IND BLDG TSUI ST KWAI CHUNG ,199
,CN,3E HK LTD,2-16 WO LIU HANG ROAD FLAT 710 BLO CK C 7 F FOTAN SHA TIN HK ,200
