index,group,shipper_name,first3_addresses,set,Latitude,Longitude
235192,1.0,CHANGSHA YUANMEI BEAUTY PRODUCTS CO,39 JINWANG RD S JINYU IND PARK NINGXIANG COUNTY ; NO 39 JINWANG ROAD SOUTH JINYU IND USTRIAL PARK NINGXIANG CHANGSHA CITY HUNAN CHINA ; NO 39 JINWANG ROAD SOUTH JINYU IND USTRIAL PARK NINGXIANG CHANGSHA CITY HUNANCHINA,val,28.25831,112.56048
469767,1.0,CHANGSHA YUANMEI BEAUTY PRODUCTS CO LTD,NO 39 JINWANG ROAD SOUTH JINYU INDUSTRIAL PARK NINGXIANG CHANGSHA CITY HUNAN CHINA,val,28.25831,112.56048
352250,,CHANGSHA YUEYU TRADE CO LTD,201-36 2ND FLOOR BUILDING A NO 618 HEPING ROAD CHANGSHA CN ;  201-36 2ND FLOOR BUILDING A NO 618 HEPING ROAD LONGPING HIGH-TECH ;  201-36 2ND FLOOR BUILDING A NO 618 HEPING ROAD LONGPING HIGH-TECH PARK,test,28.40553,112.651
675558,2.0,CHANGSHA YUMING AUTO ELECTRIC LIABI,HONG KAI BRIDGE VILLAGE CHATING TOWN WANGCHENG DISTRICT,val,18.43333,105.75
95823,2.0,CHANGSHA YUMING AUTO ELECTRIC LIABILITY COMPANY,HONGKAI QIAO VILLAGE CHATING TOWN WANGCHENG DISTRICT CHANGSHA HUNAN CN,val,28.36667,112.81667
220425,,CHANGSHA YUSHENGMAOYI YOUXIANGONGSI,XINCHANGHAIZHONGXIN3-CDONG802 803H AOC683,val,0.0,0.0
602227,,CHANGSHA YUTUO DIANZISHANGWU YOUXIA,N GONGSTIANDINGJIEDAO HUANHULU 868HAO TIANXIANG SHUIJINGWAN BANGONGLOU,val,28.99299,108.90909
190985,,CHANGSHA YUXUAN GRAIN & OIL MACHINE,806-807#SHANG WU LOU MENG ZE YUAN NO 289 CHEZHAN BEI ROAD,test,0.0,0.0
176342,,CHANGSHA YVVEI HOUSEWARE CO LTD,ADD:FLOOR 15 BUILDING 8 ZONE E4 BEICHEN DELTA SECTION 3 XIANGJIANG NORTH ROAD HUNAN CHINA CN ;  NO 1200 BUILDING 8 BEICHEN DELTA XINHE STREET KAIFU DISTRICT ;  NO 1200 BUILDING 8 BEICHEN DELTA XINHE STREET KAIFU DISTRICT CHANGSHA CITY HUNA N PROVINCE,val,26.8761,112.614
103279,,CHANGSHA YYADTO LABOUR SAFETY PRODU CO LTD,ROOM 401 NO 8 SECTION2 TENGFEI ROAD WANGCHENG,val,36.8144,120.513
712194,,CHANGSHA ZHENGSHAN BIOTECHNOLOGY CO LTD,ROOM 1920 19 / F UNIT N ;  ROOM 1920 19 / F UNIT N BUI,val,0.0,0.0
425729,,CHANGSHA ZHIDE E COMMERCE CO LTD,LUFENGHEYUAN NO 328 MIDDLE XIAOXIANG RD YUELU ST YUELU DIST ;  RM 1008-1010 BUILDING 5 LUFENGHEY UAN NO 328 MIDDLE XIAOXIANG RD Y,test,0.0,0.0
125425,,CHANGSHA ZHONG GU INTELLIGENT EQUIP,NO 058 NORTH OF YINZHOU ROAD HIGH- TECHNOLOGY INDUSTRIAL PARK NINGXIA NG CITY CHANGSHA HUNAN CHINA,val,28.19874,112.97087
249692,3.0,CHANGSHA ZHONGGU INTELLIGENT,NO 058 NORTH OF YINZHOU ROAD HIGH -TECHNOLOGY INDUSTRIAL PARK NINGXIANG CITY CHINA,test,28.25831,112.56048
528599,3.0,CHANGSHA ZHONGGU INTELLIGENT EQUIPM,NO 058 NORTH OF YINZHOU ROAD HIGH -TECHNOLOGYINDUSTRIAL PARK NINGXIANG CITY CHANGSHA HUNAN CHINA ;  NO 058 NORTH OF YINZHOU ROAD HIGH- TECHNOLOGYINDUSTRIAL PARK NINGXIANGCITY CHANGSHA NINGXIANG CN,test,28.25831,112.56048
886,3.0,CHANGSHA ZHONGGU INTELLIGENT EQUIPM ENT,NO 058 NORTH OF YINZHOU ROAD JINZHOU NINGXIANG,test,28.25831,112.56048
22786,3.0,CHANGSHA ZHONGGU INTELLIGENT EQUIPMENT MANUFACTURING CO LTD,NO 058 NORTH OF YINZHOU ROAD NINGXIANG CHANGSHA HUNAN CHANGSHA CN ;  NO 058 NORTH OF YINZHOU ROAD NINGXIANG CITY CHANGSHA HUNAN CHINA,test,28.19874,112.97087
257134,,CHANGSHA ZHONGREN BIOTECHNOLOGY CO LTD,JINKE YIDA SCIENCE AND TECHNOLOGY CITY CHANGSHA 410129 CHINA CN,val,28.19874,112.97087
565468,,CHANGSHA ZHONGYI GROUP CO LTD,A1739 GOLDEN PALACE 87 WUYI ROAD CHANGSHA CHINA ;  A1739 GOLDEN PALACE 87 WUYI ROAD CHANGSHA HUNAN CHINA,val,28.19874,112.97087
477136,,CHANGSHA ZHUOLAN E COMMERCE CO LT,DNO 380 SECTION 3 FURONG MIDDLE R OAD JINPENLING STREET ROOM 218 33,val,55.5474501,12.9156809
257135,,CHANGSHA ZOOMLIAN PUMP CO LTD,NO 1061 EAST SECOND RING ROADCHANGSHA CHINA,val,26.58235,101.71864
183696,,CHANGSHA ZOOMPEY IMPORT & EXPORT CO LTD,NO 828 FURONG ROAD CHANGSHA HUNAN 410000 CHINA,test,28.20156,113.03653
418497,,CHANGSHA ZTOTOP TECHNOLOGY CO LTD,7TH FLOOR BUILDING 9 PHASE I CH ANGSHAZHONGDIANRUANJIANYUAN NO 39 ;  7TH FLOOR BUILDING 9 PHASE I CHANGSHA ZHONGDIANRUANJIANYUAN NO 39 JIANSHAN ROAD GAOXINKAIFA CHANGSHA CN,val,28.19874,112.97087
433013,4.0,CHANGSHAHUIR BIOLOGICAL TECHCO LTD,ADDRESS:NO 99 LONGYUAN 2ND ROAD,val,0.0,0.0
8192,4.0,CHANGSHAHUIRBIOLOGICAL TECH CO LTD,NO 99 LONGYUAN2NDROAD LONGPING,val,43.6534,118.325
704858,4.0,CHANGSHAHUIRBIOLOGICAL TECHCO LTD,ADDRESS:NO 99 LONGYUAN2NDROAD,val,0.0,0.0
455151,,CHANGSHAMIAOTUOMAOYI YOUXIAN GONGSI,HUXIANGJIEDAO CHEZHANBEILU70HAO WANXIANGXINTIANGONGYU5HAODONG 1602-16,val,0.0,0.0
668239,,CHANGSHAMOXUANKEJIYOUXIANGONGSI,WANJIALILUERDUAN668HAOCHANGSHAZONGBUJIDI 1-ADONG 1711FANG 222HAO,val,0.0,0.0
690087,5.0,CHANGSHAN HONGKONG TRADE CO,LI FLAT /RM 1101 11/F DAVID HOUSE 8-20NANKING STREET JORDAN KL 99907 ; LIM FLAT /RM 1101 11/F DAVID HOUSE 8-2 0 NANKINGSTREET JORDAN KL ; LIM FLAT /RM 1101 11/F DAVID HOUSE 8-20 NANKING STREET,test,22.306230888896,114.172135166438
308441,5.0,CHANGSHAN HONGKONG TRADE CO LTD,8-20 NANKING STREET HONG KONG 9990 77 HK ;  FLAT /RM 1101 11/F DAVID HONG KONG 999077 HK ;  FLAT /RM 1101 11/F DAVID HOU HONG KONG 999077 HK,test,22.3062846,114.1720559
264340,,CHANGSHAN PEER BEARING CO LTD,NO 18 DUXING ROAD GREEN INDUSTRIA L CLUSTER DISTRICT ;  NO 18 DUXING ROAD GREEN INDUSTRIA LCLUSTER DISTRICT CHANGSHAN COUNTY ;  NO 18 DUXING ROAD GREEN INDUSTRIAL CHANGSHAN COUNTY,val,3.4525833,-76.5142649
558074,,CHANGSHAN PLIGHT IMPORT & EXPORT CO LTD,ROOM 902 NO 17 BUILDING YIWU CITY ZHEJIANG PROVINCE CHINA,test,29.31506,120.07676
447822,,CHANGSHAN XINGQI TRADE CO LTD,NO 1102 UNIT1 BLOCK4 ORIENTALPLAZA ZIGANG SUBDISTRICT CHANGSHAN 324200QUZHOU ZHEJIANG CHINA,test,28.95968,118.5096
381664,,CHANGSHANABANGIMPORTAND EXPORT,301-9 INCUBATION BUILDING C5 GOLD PIONEER PARK WANGCHENG ECONOMIC AND TECHNOLIGICAL DEVELOPMENT ZONE,test,45.7611993,10.1168278
264341,,CHANGSHAPEARL LIGHTING CO LTD,NO 181 WEST ROAD TONGZIPO LUVALLY HIGH TECHNIQUE DEVELOPENT ZONE CHANGSHA CN,test,28.19874,112.97087
631586,,CHANGSHARYDERTRADECO LTD,NO 1235ROOM YUNJI BUILDING XIANGZHANGROADNO 255 JINGWANZ ISTREET YUHUADISTRICT CHANGSHA CN,val,28.1301,113.03791
183697,,CHANGSHASAIJING ELECTRONICTECHNOL OGY CO LTD,ROOM22017 22/F BUILDING 3BEICHENDELTAB1E1ZONE NO 68 Q,val,0.0,0.0
668240,,CHANGSHASHARDORELECTRICALAPPLIAN CETECHNOLOGYCO LTD,ADD:ROOM 208 FLOOR 2 BUILDING 1 BUILDING 2 BUILDING 3 LEWOJU BUILDING NO,test,62.0,10.0
293791,,CHANGSHASHI PANZHONG TECHNOLOGY CO LTD,QINGLANLU68HAO BEICHENFENGHUA NGTIANJIEYUANB1EDONG13026HAOFANG,val,0.0,0.0
484449,,CHANGSHASHIHUAZHUOKEJIYOUXIANGONGSI,TIYUCHANYE2HAOSHANGZHULOU802FANG,test,0.0,0.0
653683,6.0,CHANGSHASHIXIJIANMUXINGRENXIAO NO,1805 BUILDING F4 LUGU YUYUAN 27 WENXUAN ROAD HIGH-TECH,test,0.0,0.0
675559,6.0,CHANGSHASHIXIJIANMUXINGRENXIAOSHOU NO,1805 BUILDING F4 LUGU YUYUAN 27 WENXUAN ROAD CHANGSHA,test,28.19874,112.97087
396493,6.0,CHANGSHASHIXIJIANMUXINGRENXIAOSHOUY NO,1805 BUILDING F4 LUGU YUYUAN 27 WENXUAN ROADHIGH-TECH DEVELOPMENT ZONE CHANGSHA HUNAN CN,test,28.19874,112.97087
118101,,CHANGSHASHUANGGANGMAOYI CO LTD,XINTANGLONG 6DONG 8HAO,test,26.65182,113.27434
565469,,CHANGSHAYINTUIMPORTANDEXPORTTR,280CONVENIENCESERVICECENTER JINGGEZHONGXINGCOMMUNITYJINGGANG,test,0.0,0.0
668241,,CHANGSHENG TRADE LTD,DATAN ROAD HETANG TOWN PENGJIANG D ISTRICT JIANGMEN CN ; DATAN ROAD HETANG TOWN PENGJIANG DISTRICT ; DATAN ROAD HETANG TOWN PENGJIANG DISTRICT JIANGMEN CITY GUANGDONG CHINA,val,29.1488,106.21889
433014,7.0,CHANGSHENGDA MACHINERY CO LTD,NO 9 BEI YUAN AVE HUANGYAN ECONOMIC DEVELOPING ;  NO 9 BEI YUAN AVE HUANGYAN ECONOMIC DEVELOPING AREA W HUANGYAN,val,28.6501,121.26591
249693,7.0,CHANGSHENGDA MACHINERY ZHEJIANG C,NO 9 BEIYUAN AVE HUANGYAN ECONOMIC DEVELOPING AREA W HUANGYAN ZHEJIANG,val,28.6501,121.26591
132544,7.0,CHANGSHENGDA MACHINERY ZHEJIANG CO,NO 9 BEI YUAN AVE HUANGYAN ECONOMICDEVELOPING AREA W HUANGYAN ; NO 9 BEI YUAN AVE HUANGYAN ECONOMICDEVELOPING AREA W ZHEJIANG HUANGYAN CN,val,28.6501,121.26591
337505,8.0,CHANGSHI ARTS & CRAFTS CO LTD,F NO 29 CHAOQIAN HONGWEI TOWN MINHOU COUNTY FUZHOU CN ;  FU NO 29 CHAOQIAN HONGWEI TOWN MINHOU COUNTY FUZHOU FUJIAN CHINA ;  FUZ NO 29 CHAOQIAN HONGWEI TOWN MINHOU COUNTY FUZHOU FUJIAN CHINA,test,26.22763,119.07581
638986,8.0,CHANGSHI ARTS AND CRAFTS CO LTD,FU NO 376 CHAOQIAN HONGWEI TOWN MINHOU COUNTY ;  FU NO 376 CHAOQIAN HONGWEI TOWN MINHOU COUNTY FUZHOU FUJIAN ;  FUZ MINHOU COUNTY FUZHOU FUJIAN CHINA,test,26.06139,119.30611
118102,8.0,CHANGSHI ARTS CRAFTS CO LTD,F NO 29 CHAOQIAN HONGWEI TOWN MINHOU COUNTY FUZHOU FUJIAN CHINA,test,26.22763,119.07581
440362,9.0,CHANGSHIN STEEL CO,3RD FLOOR SEOJEON BLDG 173 SEOUL KR,val,37.566,126.9784
22787,9.0,CHANGSHIN STEEL CO LTD,3RD FLOOR SEOJEON BUILDING 173 S AIMDANG-RO SEOCHO-GU SEOUL KOREA TEL 82-2-3472-3460 ;  3RD FLOOR SEOJEON BUILDING 173 SAIMDANG-RO SEOCHO-GU SEOUL KORE A TEL 82-2-3472-3460,val,37.49447,127.01088
462452,,CHANGSHU 3F FLUOROCHEMICAL INDUSTRIAL,FUSHAN HAIYU TOWN,test,0.0,0.0
506537,,CHANGSHU 3F ZHONGHAO NEW CHEMICAL M,NO 10 XINGYU RD-HAIYU TOWN 215522 CHANGSHU CITY JIANGSU CN,test,31.64615,120.74221
513944,,CHANGSHU 5 RICH TRADE CO LTD,B519 NO 45 HAIYU NORTH RD,test,44.912395712,-66.937226623
139985,,CHANGSHU AAM AUTOMOTIVE,DRIVELINE H 16 TONGLIAN ROAD CHANGSHU ECONOMIC DEVELOPMENT ZONE CHANGSHU JIANGSU 21553 CN ; DRIVELINE H 16 TONGLIAN ROAD CHANGSHU ECONOMIC DEVELOPMENT ZONE CHANGSHU JIANGSU 215537 CN ; DRIVELINE H NO 16 TONGLIAN ROAD CHANGSHU ECONOMIC DEVELOPMENT ZONE,val,31.64615,120.74221
484450,,CHANGSHU AIBOER FASHION CO LTD,XIEQIAO INDUSTRIAL PARK YUSHAN TOWN CHANGSHU CITY JIANGSU PROVINCE CHINA TEL:0512-52611018 ;  XIEQIAO INDUSTRIAL PARK YUSHAN TOWNCHANGSHU CITY JIANGSU PROVINCE CH INA 0512-52611018 99999 ;  XIEQIAO INDUSTRIAL PARK YUSHAN TOWNCHANGSHU CITY JIANGSU PROVINCE CH INA TEL 0512-52611018 99999,test,3.4525833,-76.5142649
30061,,CHANGSHU ANTOLIN AUTOMOTIVE INTERIORS CO LT,ANJI-CEVA LOGISTICS CO LTD AS AGENTS FOR ON BEHALF OF CHANGSHU ANTOLIN AUTOMOTIVE INTERIORS CO LTD 288 HAIYU NORTHX,val,0.0,0.0
506538,,CHANGSHU AOGEJIA BUSINESS DEPARTMEN NO,4222-76 FOURTH FLOOR HARDWARE MARKET CHANGSHU JIANGSU CHINA,test,31.64615,120.74221
403732,,CHANGSHU BABY BETTER TEXTILE CO LT,NO 9 LAOWUJING ROAD XIDONG TOWN BI XI NEW ZONE ;  NO 9 LAOWUJING ROAD XIDONG TOWN BI XI NEW ZONE CHANGSHU ;  NO 9 LAOWUJING ROAD XIDONG TOWN BI XI NEW ZONE CHANGSHU CN,val,31.64615,120.74221
396494,,CHANGSHU BAIYUN HARDWAREAND PLASTIC LTD,TIANSHAN FUSHAN TOWN CHANGSHU CITY JIANGSU PROVINCE CHANGSHU 215522 CN CHANGSHU 215522CN ; TIANSHAN FUSHAN TOWN CHANGSHU CITY JIANGSU PROVINCE CHANGSHU CN CHANGSHU CN ; TIANSHAN FUSHAN TOWN CHANGSHU CITY JIANGSU PROVINCE CHANGSHU CN CHANGSHUCN,val,32.62355,119.24833
366850,10.0,CHANGSHU BAOFENG SPECIAL FIBER CO,NO 22 LIANFENG RD CHANGSHU JIANGSU CHINA,val,31.64615,120.74221
469768,10.0,CHANGSHU BAOFENG SPECIAL FIBER CO LTD,ZHENMEN EAST TIANTAI BRIDGE SUZHOU 215500 CN,val,31.67828,120.89429
447823,,CHANGSHU BEALEAD AUTOMATIC MACHINE,NO 31-1 LIANTANG ROAD CHANGSHU 212000 CN,test,27.97856,113.26167
242419,11.0,CHANGSHU BEIYATE IMPORT & EXPORT,NO 8 YONGXIN ROAD CHANGSHU CN ;  NO 8 YONGXIN ROAD JIANGSU PROVINCE CHANGSHU CN,test,31.64615,120.74221
668242,11.0,CHANGSHU BEIYATE IMPORT & EXPORT CO LTD,NO 8 YONGXIN ROAD CHANGSHU JIANGSU 215500 CHINA,test,31.64615,120.74221
286368,12.0,CHANGSHU BESTEN INTERNATIONAL,NO 12 HUANGHE RD CHANGSHU 212000 CN,test,31.64615,120.74221
572907,12.0,CHANGSHU BESTEN INTERNATIONAL TRADE,511 5F UNIT B NO 12 HUANGHE RD; 511 5F UNIT B NO 12 HUANGHE RD CHANGSHU CN; 511 5F UNIT B NO 12 HUANGHE RD CHANGSHU JIANGSU CHINA051252195003,test,31.64615,120.74221
513945,12.0,CHANGSHU BESTEN INTERNATIONALTRADE,511 5F UNIT B NO 12 HUANGHE ROAD CHANGSHU CN,test,31.64615,120.74221
132545,13.0,CHANGSHU BOMAN KNITTING AND TEXTILE,NO120 HUANGBANG HAIYU TOWN CHANGSHU JS CHINA,val,31.64615,120.74221
396495,13.0,CHANGSHU BOMAN KNITTING&TEXTILE CO,BUILDING 1 HAICHEN ROAD XINZHOU V ILLAGE ZHOUHANG HAIYU TOWN CHANGSH U CITY 215500 JIANGSU CHINA,val,33.0,119.83333
433015,,CHANGSHU BORONG BUSINESS,DEPARTMENT MOCHENG,val,27.60667,120.61889
638987,14.0,CHANGSHU BOSIDENG IMPORT & EXPORT,BOSIDENG INDUSTRIAL DEVELOPMENT ZO CHANGSHU JS CHINA ; BOSIDENG INDUSTRIAL ZONE ; BOSIDENG INDUSTRIAL ZONE CHANGSHU JIANGSU CHINA,val,31.64615,120.74221
455152,14.0,CHANGSHU BOSIDENG IMPORT & EXPORT CO,L BOSIDENG INDUSTRIAL ZONE CHANGSHU 310000 CN,val,31.64615,120.74221
653684,14.0,CHANGSHU BOSIDENG IMPORT & EXPORT CO LTD,BOSIDENG INDUSTRIAL ZONE CHANGSHU JIANGSU CHINA ; DAMCO CHINA LIMITED SHANGHAI BRANCH O/B CHANGSHU BOSIDENG IMP AND EXP CO LTD BOSIDENG INDUSTRIAL ZONE 215532 CHANGSHU CITY CHINA,val,31.64615,120.74221
506539,14.0,CHANGSHU BOSIDENG IMPORT & EXPORTBOSIDENG INDUSTRIAL ZONE JIANGSU PR,DHL GLOBAL FORWARDING CHINA CO L SHANGHAI BRANCH ON BEHALF OF CHANGSHU BOSIDENG IMPORT AND EXPORTBOSIDENG INDUSTRIAL ZONE JIANGSU PR,val,31.22222,121.45806
396496,14.0,CHANGSHU BOSIDENG IMPORT &CHANGSHU,BOSIDENG INDUSTRIAL ZONE CHANGSHU CN,val,31.64615,120.74221
22788,14.0,CHANGSHU BOSIDENG IMPORT &EXPORT CO,BOSIDENG INDUSTRIAL ZONE CHANGZHOU CN,val,31.77359,119.95401
359638,14.0,CHANGSHU BOSIDENGIMPORT&EXPORTCO LT,BOSIDENG INDUSTRIAL ZONE JIANGSU PROVINCE 215532 CHANGSHU,val,31.64615,120.74221
213105,14.0,CHANGSHU BOSIDENGIMPORT&EXPORTCO LTD,BOSIDENG INDUSTRIAL ZONE JIANGSU ;  BOSIDENG INDUSTRIAL ZONE JIANGSU PROVINCE 215532 CHANGSHU,val,31.64615,120.74221
521326,14.0,CHANGSHU BOSIDINGIMPORT&EXPORTCO LT,D BAIMAO INDUSTRIAL DEVELOPMENT ZONE SUZHOU CITY 215532 CN,val,31.30408,120.59538
536091,,CHANGSHU BOSSLIN TEXTILES CO LTD,NO 48 JINXI ROAD DAOSHU TOWN DANYANG CITY JIANGSU CHINA,val,31.95854,119.63219
712195,,CHANGSHU BOTE TEXTILE LTD,266 HUALIAN ROAD MEILI TOWN CHANGSHU CITY JIANGSU PROVINCE CHINA ; 266 HUALIAN ROAD MEILI TOWN CHANGSHU CITY JIANGSU PROVINCE CHINA CN ; NO 266 HUALIAN ROAD MEILI DISTRICT 215500 CHANGSHU,test,31.64615,120.74221
88404,,CHANGSHU BRIGHT FUTURE FIRM,NO 122 WANGDUN RD SUZHOU JIANGSU CHINA,test,31.76222,120.69583
190986,15.0,CHANGSHU BROTHER GLASS MOULD CO,17 E CHANGKUN IND AREA JIANGSU SHAJIABANG CN,test,31.5641,120.771
638988,15.0,CHANGSHU BROTHER GLASS MOULD CO LTD,17 E CHANGKUN IND AREA SHAJIABANG JIANGSU 215559 CHINA TEL:8651252508333 CN,test,31.5641,120.771
352251,16.0,CHANGSHU BSHINE ELECTRONIC TECHNOLO,BUILDING 6 NO 8 JINZHOU ROAD CHANGSHU JIANGSU 215500 CN,test,31.64615,120.74221
103280,16.0,CHANGSHU BSHINE ELECTRONIC TECHNOLOGY CO LTD,BUILDING 6 NO 8 JINZHOU ROAD CHANGSHU CN,test,31.64615,120.74221
235193,,CHANGSHU CATEC ELECTRONIC INTL LTD,NO 188 SUZHOU ROAD YUSHAN HIGH TECH INDUSTRY PARK CHANGSHU 2155000JIANGSU PR CHINA,val,29.44395,118.88005
411066,,CHANGSHU CHANG YEEIMPORT&EXPORTCO LT,ROOM1518 BLOCK B WORLD TRADE CENT ERNO 45 NORTH HAIYU ROAD CHANGSHU CHINA 215500 JIANGSU CN,val,31.64615,120.74221
161929,,CHANGSHU CHANGCHUN AUTOMOTIVE PARTS CO LTD,288 HAIYU NORTH ROAD CHANGSHU JIANGSU CHINA,val,31.64615,120.74221
30062,17.0,CHANGSHU CHANGFU LIMITED,156-1 HAIYU ROAD NORTH CHANGSHU JS 215500 CHINA,test,31.64615,120.74221
616816,17.0,CHANGSHU CHANGFU LTD,156-1 HAIYU ROAD NORTH CHANGSHU CITY JIANGSU PRO CHINA 215500,test,31.64615,120.74221
572908,,CHANGSHU CHANGHONG MUSICAL,ZHUANGQIAO TOWN CHANGSHU JIANGSU C HINA,val,33.84167,118.075
176343,18.0,CHANGSHU CHANGSHENG ALUMINIUM,PRODUCTS XINZHUANG TOWN JIANGSU,val,31.09545,120.85157
235194,18.0,CHANGSHU CHANGSHENG ALUMINIUM PRODU,XINZHUANG TOWN CHANGSHU CITY JIANGSU CHINA,val,31.09545,120.85157
213106,18.0,CHANGSHU CHANGSHENG ALUMINUM PRODUC TS CO,XINLV ROAD XINZHUANG TOWN CHA NGSHU CITY JIANGSU,val,31.09545,120.85157
286369,18.0,CHANGSHU CHANGSHENG ALUMINUM PRODUC TS XINLV,ROAD XINZHUANG TOWN CHANGS HU CITY ;  ROAD XINZHUANG TOWN CHANGS HU CITY JIANGSU,val,31.64615,120.74221
286370,18.0,CHANGSHU CHANGSHENG ALUMINUM XINLV,ROAD XINZHUANG TOWN CHANGSHU CITY JIANGSU PROVINCE,val,31.09545,120.85157
587635,19.0,CHANGSHU CHANGYEEIMPORT&EXPORTCO LTD,ROOM 1518 BLOCK B WORLD TRADE CENTER,test,13.0122651,77.5556819
